n_cycles,cycle_len,variance,,RE,gamma,n_cycles,nominator,variance,RE,gamma,prob,CI lower,,CI upper,,RE,,,,,cover,,cover,quantile,,CI lower,CI upper,RE,,cover,cover,,
100000,0.83209,0.004738371,,0.005694542,19.774,100000,0.000827366,1.57E-05,0.018969902,19.774,0.000994323,0.000955723,0.00090143,0.001032923,0.001087216,0.019806186,,1.96937E-05,3.88068E-10,3.87844E-10,TRUE,1,1,19.75539426,0.000346174,19.68272032,19.8280682,0.001876882,,TRUE,1,0,1
100000,0.83899,0.004827966,,0.005754498,19.774,100000,0.000843613,2.88E-05,0.034174624,19.774,0.00100551,0.000937211,0.000912617,0.00107381,0.001098403,0.034655723,,3.48467E-05,1.21182E-09,1.21429E-09,TRUE,1,1,19.79039674,0.000268853,19.71535693,19.86543655,0.001934555,,TRUE,1,0,1
100000,0.82852,0.004660702,,0.005625335,19.774,100000,0.000819877,1.84E-05,0.022471617,19.774,0.000989568,0.000944638,0.000896675,0.001034498,0.001082461,0.023165016,,2.29234E-05,5.24195E-10,5.2548E-10,TRUE,1,1,19.74862522,0.000643879,19.67680884,19.82044161,0.00185537,,TRUE,1,0,1
100000,0.8356,0.004748318,,0.005682525,19.774,100000,0.000811945,1.65E-05,0.020340131,19.774,0.000971691,0.000931469,0.000878798,0.001011912,0.001064584,0.021118997,,2.05211E-05,4.20405E-10,4.21117E-10,TRUE,1,1,19.69133085,0.006834188,19.62190102,19.76076068,0.001798933,,FALSE,0,1,1
100000,0.82504,0.004602596,,0.005578634,19.774,100000,0.000815711,1.86E-05,0.022745743,19.774,0.000988693,0.000943309,0.0008958,0.001034077,0.001081586,0.023419863,,2.31551E-05,5.3867E-10,5.36157E-10,TRUE,1,1,19.74553556,0.000810224,19.67738056,19.81369056,0.001761054,,TRUE,1,0,1
100000,0.83099,0.004663824,,0.005612371,19.774,100000,0.000848506,2.71E-05,0.031894231,19.774,0.001021078,0.000956267,0.000928185,0.001085889,0.001113971,0.032384265,,3.30669E-05,1.09636E-09,1.09342E-09,TRUE,1,1,19.82948375,0.003078447,19.75663657,19.90233094,0.001874327,,TRUE,1,0,1
100000,0.83701,0.004746161,,0.005670375,19.774,100000,0.000813903,1.67E-05,0.020558408,19.774,0.000972393,0.000931748,0.0008795,0.001013038,0.001065286,0.021326071,,2.07373E-05,4.28484E-10,4.30037E-10,TRUE,1,1,19.70017914,0.005449519,19.62329033,19.77706795,0.001991301,,TRUE,1,0,1
100000,0.82453,0.004636874,,0.005623657,19.774,100000,0.000827197,1.64E-05,0.019792122,19.774,0.001003234,0.000962776,0.000910341,0.001043693,0.001096127,0.020575559,,2.06421E-05,4.27447E-10,4.26096E-10,TRUE,1,1,19.78331341,8.67396E-05,19.71129243,19.85533438,0.001857393,,TRUE,1,0,1
100000,0.83417,0.004703988,,0.005639124,19.774,100000,0.000819414,1.59E-05,0.019397141,19.774,0.00098231,0.000943418,0.000889417,0.001021202,0.001075203,0.020200218,,1.98429E-05,3.94001E-10,3.9374E-10,TRUE,1,1,19.72188091,0.0027164,19.64725623,19.79650559,0.001930537,,TRUE,1,0,1
100000,0.82718,0.004641932,,0.005611756,19.774,100000,0.000802888,1.37E-05,0.017088393,19.774,0.000970633,0.000936415,0.00087774,0.00100485,0.001063526,0.017986244,,1.7458E-05,3.03979E-10,3.04783E-10,TRUE,1,1,19.70804392,0.004350204,19.63538114,19.7807067,0.001881102,,TRUE,1,0,1
100000,0.83089,0.00466801,,0.005618084,19.774,100000,0.000832571,3.57E-05,0.04289268,19.774,0.001002023,0.000917064,0.00090913,0.001086983,0.001094916,0.043259044,,4.33466E-05,1.87777E-09,1.87892E-09,TRUE,1,1,19.77964939,3.19156E-05,19.70227333,19.85702545,0.001995869,,TRUE,1,0,1
100000,0.84227,0.004759991,,0.005651384,19.774,100000,0.000818078,1.73E-05,0.021133263,19.774,0.000971277,0.000929632,0.000878384,0.001012922,0.00106417,0.021875853,,2.12475E-05,4.5201E-10,4.51457E-10,TRUE,1,1,19.74543473,0.000815975,19.67214311,19.81872635,0.001893789,,TRUE,1,0,1
100000,0.83079,0.004619219,,0.005560031,19.774,100000,0.000845908,2.63E-05,0.03112565,19.774,0.001018197,0.000955097,0.000925304,0.001081297,0.00111109,0.03161835,,3.21937E-05,1.03419E-09,1.03643E-09,TRUE,1,1,19.83563833,0.003799284,19.75972993,19.91154673,0.001952484,,TRUE,1,0,1
100000,0.83612,0.004736416,,0.005664756,19.774,100000,0.000804889,1.40E-05,0.017403041,19.774,0.000962648,0.000928116,0.000869755,0.000997179,0.001055541,0.018301784,,1.76182E-05,3.10099E-10,3.104E-10,FALSE,1,0,19.67184578,0.010435485,19.60282926,19.74086229,0.001789995,,FALSE,0,1,1
100000,0.82766,0.004703359,,0.005682719,19.774,100000,0.000894615,6.22E-05,0.0695675,19.774,0.001080897,0.000933023,0.000988004,0.00122877,0.00117379,0.069799214,,7.54458E-05,5.6855E-09,5.69206E-09,TRUE,1,1,19.97900563,0.042027308,19.90463156,20.0533797,0.001899292,,FALSE,0,0,0
