n_cycles,cycle_len,variance,RE,gamma,n_cycles,nominator,variance,RE,gamma,prob,CI lower,CI upper,RE,cover,RE,quantile,CI lower,CI upper,cover,cover,cover
100000,0.63026,0.00378599,0.006007029,9.5247,100000,0.000617686,9.83E-06,0.015914021,9.5247,0.000980049,0.000947374,0.001012724,0.017010096,TRUE,9.490659329,9.449708757,9.531609901,0.002201443,TRUE,1,1
100000,0.63175,0.003814029,0.006037245,9.5247,100000,0.00061853,9.37E-06,0.015153157,9.5247,0.000979073,0.000947772,0.001010375,0.016311626,TRUE,9.492367239,9.457244146,9.527490331,0.001887827,TRUE,1,1
100000,0.62265,0.003700699,0.005943465,9.5247,100000,0.000624258,2.19E-05,0.035137692,9.5247,0.001002583,0.000932554,0.001072612,0.035636987,TRUE,9.526448082,9.492497044,9.560399121,0.001818302,TRUE,1,1
100000,0.62821,0.003812194,0.006068343,9.5247,100000,0.00060821,1.51E-05,0.024749346,9.5247,0.000968164,0.000919808,0.00101652,0.025482571,TRUE,9.496135307,9.459108174,9.53316244,0.001989377,TRUE,1,1
100000,0.62046,0.003734688,0.006019224,9.5247,100000,0.000605111,8.27E-06,0.013674537,9.5247,0.000975262,0.000946702,0.001003821,0.014940758,TRUE,9.491869253,9.456091103,9.527647402,0.001923136,TRUE,1,1
100000,0.62754,0.003778404,0.006020977,9.5247,100000,0.000625531,1.97E-05,0.031443918,9.5247,0.000996798,0.000934249,0.001059348,0.032015346,TRUE,9.520360105,9.48452389,9.55619632,0.001920493,TRUE,1,1
100000,0.62968,0.003756785,0.005966181,9.5247,100000,0.000612993,9.07E-06,0.014793006,9.5247,0.0009735,0.000943064,0.001003935,0.01595089,TRUE,9.49448458,9.456661506,9.532307654,0.002032494,TRUE,1,1
100000,0.6238,0.003749178,0.006010224,9.5247,100000,0.000637132,2.67E-05,0.041971956,9.5247,0.001021372,0.000936491,0.001106252,0.042400305,TRUE,9.544582536,9.507109149,9.582055924,0.002003134,TRUE,1,1
100000,0.62479,0.003723154,0.005959048,9.5247,100000,0.000670295,4.47E-05,0.0667606,9.5247,0.001072833,0.000931893,0.001213772,0.06702636,TRUE,9.608492415,9.569305791,9.64767904,0.002080782,FALSE,1,0
100000,0.6308,0.003782475,0.005996313,9.5247,100000,0.00062973,1.19E-05,0.01890501,9.5247,0.000998304,0.000959497,0.001037111,0.019833283,TRUE,9.522401557,9.48545993,9.559343183,0.001979308,TRUE,1,1
100000,0.62787,0.0037227,0.005929093,9.5247,100000,0.000609641,9.74E-06,0.015973344,9.5247,0.000970967,0.000938541,0.001003393,0.017038332,TRUE,9.489514771,9.454812528,9.524217013,0.001865767,FALSE,1,0
100000,0.62609,0.003747294,0.005985232,9.5247,100000,0.000588424,8.20E-06,0.013935288,9.5247,0.00093984,0.000911902,0.000967778,0.01516633,FALSE,9.456322967,9.422950251,9.489695682,0.001800583,FALSE,0,0
100000,0.61987,0.003688619,0.005950634,9.5247,100000,0.000630819,1.36E-05,0.021624185,9.5247,0.001017663,0.000972928,0.001062399,0.022428117,TRUE,9.546369634,9.512527759,9.58021151,0.001808673,TRUE,1,1
100000,0.62068,0.003735152,0.006017839,9.5247,100000,0.000620032,2.04E-05,0.032972014,9.5247,0.000998956,0.000933331,0.00106458,0.033516851,TRUE,9.522988787,9.485416524,9.560561051,0.002012973,TRUE,1,1
100000,0.62413,0.003766234,0.006034374,9.5247,100000,0.000592817,8.64E-06,0.014574183,9.5247,0.00094983,0.000920464,0.000979196,0.015774123,FALSE,9.451846,9.415472433,9.488219568,0.00196342,FALSE,0,0
100000,0.62628,0.003739189,0.005970475,9.5247,100000,0.000638466,2.58E-05,0.040470137,9.5247,0.001019458,0.000937718,0.001101199,0.040908377,TRUE,9.54987293,9.511738663,9.588007196,0.002037332,TRUE,1,1
100000,0.63071,0.003783008,0.005998015,9.5247,100000,0.000617929,1.35E-05,0.021774823,9.5247,0.000979736,0.000936365,0.001023108,0.022585929,TRUE,9.495129384,9.455822443,9.534436326,0.002112089,TRUE,1,1
100000,0.61943,0.003704182,0.005979985,9.5247,100000,0.00060908,1.15E-05,0.018847693,9.5247,0.000983291,0.000945182,0.0010214,0.019773711,TRUE,9.504548074,9.46782792,9.541268228,0.001971138,TRUE,1,1
100000,0.62694,0.003728225,0.005946702,9.5247,100000,0.00060835,1.09E-05,0.017999056,9.5247,0.000970348,0.000934296,0.001006401,0.018956077,TRUE,9.493234613,9.458719594,9.527749633,0.001854974,TRUE,1,1
100000,0.62201,0.003707794,0.005960988,9.5247,100000,0.000603684,9.88E-06,0.016361088,9.5247,0.000970538,0.000937413,0.001003662,0.017413259,TRUE,9.483209057,9.448011462,9.518406653,0.001893658,FALSE,1,0
100000,0.62484,0.003754511,0.006008755,9.5247,100000,0.000608532,1.31E-05,0.021507988,9.5247,0.000973901,0.000931273,0.001016529,0.022331674,TRUE,9.488490639,9.450382627,9.52659865,0.0020491,TRUE,1,1
